certificate_id,hbe_type,energy_delivered_gj,hbes_issued,double_counting,multiplier,feedstock,nta8003_code,delivery_date,booking_date,transport_sector,supplier_name,rev_account_id,verification_status,ghg_reduction_percentage,sustainability_scheme,production_country,pos_number
REV-2024-001,HBE-G,150.5,301,true,2,Used Cooking Oil,572,15/01/2024,20/01/2024,road,GreenFuels BV,NL-REV-12345,verified,83.5,ISCC-EU,Netherlands,ISCC-NL-2024-00145
REV-2024-002,HBE-G,200.0,400,true,2,Agricultural Residue - Straw,212,18/01/2024,22/01/2024,road,BioEnergy NL,NL-REV-12346,verified,87.2,ISCC-EU,Germany,ISCC-DE-2024-00892
REV-2024-003,HBE-C,100.0,100,false,1,Corn,221,20/01/2024,25/01/2024,road,EthanolCo,NL-REV-12347,verified,62.1,REDcert,France,RED-FR-2024-01234
REV-2024-004,HBE-IXB,75.0,150,true,2,Animal Fat Category 1,573,22/01/2024,27/01/2024,maritime,MarineBio BV,NL-REV-12348,pending,79.8,ISCC-EU,Belgium,ISCC-BE-2024-00567
REV-2024-005,HBE-O,50.0,50,false,1,Tall Oil,511,25/01/2024,30/01/2024,maritime,TropicalFuels,NL-REV-12349,verified,68.4,RSB-EU,Finland,RSB-FI-2024-00234
REV-2024-006,HBE-G,180.0,360,true,2,Animal Fat Category 2,574,28/01/2024,02/02/2024,aviation,SkyGreen BV,NL-REV-12350,verified,84.1,ISCC-CORSIA,Netherlands,ISCC-NL-2024-00289
REV-2024-007,HBE-G,220.0,440,true,2,Used Cooking Oil,572,01/02/2024,05/02/2024,aviation,AeroFuels NL,NL-REV-12351,verified,85.7,ISCC-CORSIA,Spain,ISCC-ES-2024-00445
REV-2024-008,HBE-C,90.0,90,false,1,Sugar Beet,222,05/02/2024,10/02/2024,inland_waterway,RiverBio BV,NL-REV-12352,pending,61.3,REDcert,Netherlands,RED-NL-2024-00678
REV-2024-009,HBE-G,175.0,350,true,2,Waste Wood,131,08/02/2024,12/02/2024,road,WoodEnergy BV,NL-REV-12353,verified,91.2,ISCC-EU,Sweden,ISCC-SE-2024-00112
REV-2024-010,HBE-IXB,125.0,250,true,2,Used Cooking Oil,572,10/02/2024,15/02/2024,road,BioDiesel NL,NL-REV-12354,verified,82.9,ISCC-EU,Netherlands,ISCC-NL-2024-00334
REV-2024-011,HBE-G,300.0,600,true,2,Manure - Pig,311,12/02/2024,17/02/2024,road,BioGas Holland,NL-REV-12355,verified,88.6,ISCC-EU,Netherlands,ISCC-NL-2024-00401
REV-2024-012,HBE-O,80.0,80,false,1,Rapeseed Oil,231,15/02/2024,20/02/2024,maritime,OilCrop BV,NL-REV-12356,verified,65.2,REDcert,Germany,RED-DE-2024-00789
